gt,generated,psnr,ssim,lpips,loe
10054_00_10s.ARW,test_10054_06_0.1s.png,20.02523805632244,0.8039365,0.3904021978378296,93.9264
10054_00_10s.ARW,test_10054_07_0.1s.png,20.042850255778948,0.80424786,0.39020419120788574,94.184
10054_00_10s.ARW,test_10054_08_0.1s.png,20.016892337909653,0.8040436,0.3901240825653076,94.4448
10054_00_10s.ARW,test_10054_09_0.1s.png,20.053238110463447,0.8043921,0.39014023542404175,94.5584
10055_00_10s.ARW,test_10055_00_0.04s.png,21.723264927259898,0.81946135,0.27703988552093506,98.2092
10055_00_10s.ARW,test_10055_00_0.1s.png,21.507356802684253,0.8413448,0.2306102216243744,89.572
10055_00_10s.ARW,test_10055_01_0.04s.png,21.625558345630175,0.81862926,0.27849894762039185,96.386
10055_00_10s.ARW,test_10055_01_0.1s.png,21.53406000836722,0.8416338,0.22967101633548737,89.4208
10055_00_10s.ARW,test_10055_02_0.1s.png,21.511406803830496,0.84115964,0.2306804209947586,89.3152
10055_00_10s.ARW,test_10055_03_0.1s.png,21.51070304539359,0.84106666,0.23081843554973602,90.0712
10055_00_10s.ARW,test_10055_04_0.1s.png,21.531234095432765,0.8414094,0.2298784703016281,89.7864
10055_00_10s.ARW,test_10055_05_0.1s.png,21.519618146411872,0.84156007,0.22962729632854462,89.944
10055_00_10s.ARW,test_10055_06_0.1s.png,21.547846506178555,0.84161806,0.23014263808727264,89.728
10055_00_10s.ARW,test_10055_07_0.1s.png,21.51141492658892,0.84115213,0.23046022653579712,89.9576
10055_00_10s.ARW,test_10055_08_0.1s.png,21.51376702711552,0.84120965,0.23022079467773438,89.6384
10055_00_10s.ARW,test_10055_09_0.1s.png,21.533485613964018,0.84149575,0.23014433681964874,90.0112
10068_00_10s.ARW,test_10068_00_0.04s.png,24.680382492545974,0.9184191,0.307402104139328,67.8268
10068_00_10s.ARW,test_10068_00_0.1s.png,24.88312072399456,0.9338866,0.24854785203933716,75.8196
10068_00_10s.ARW,test_10068_01_0.04s.png,24.38604079757761,0.9043703,0.3116621673107147,70.3804
10068_00_10s.ARW,test_10068_01_0.1s.png,24.85945446494986,0.9338889,0.24832221865653992,76.2004
10068_00_10s.ARW,test_10068_02_0.1s.png,24.863630360775097,0.9338014,0.24871525168418884,75.9004
10068_00_10s.ARW,test_10068_03_0.1s.png,24.840713030814342,0.9338126,0.2483842670917511,76.6548
10068_00_10s.ARW,test_10068_04_0.1s.png,24.83947957580905,0.9337902,0.24825863540172577,76.0336
10068_00_10s.ARW,test_10068_05_0.1s.png,24.837961850205005,0.93378526,0.24800868332386017,75.494
10068_00_10s.ARW,test_10068_06_0.1s.png,24.82799965669093,0.933811,0.24840348958969116,75.6672
10068_00_10s.ARW,test_10068_07_0.1s.png,24.808357491771744,0.9338359,0.24857595562934875,75.8608
10068_00_10s.ARW,test_10068_08_0.1s.png,24.791721393597918,0.9337504,0.24869531393051147,75.0176
10068_00_10s.ARW,test_10068_09_0.1s.png,24.783406941022086,0.933718,0.24888162314891815,75.9872
10069_00_10s.ARW,test_10069_00_0.04s.png,28.02993553136211,0.91341895,0.36823979020118713,112.7392
10069_00_10s.ARW,test_10069_00_0.1s.png,29.96333848786697,0.9430628,0.19498106837272644,86.112
10069_00_10s.ARW,test_10069_01_0.04s.png,28.151527950421116,0.9148831,0.36334267258644104,109.6208
10069_00_10s.ARW,test_10069_01_0.1s.png,29.901089160200314,0.94322675,0.19338609278202057,85.9708
10069_00_10s.ARW,test_10069_02_0.1s.png,29.822615771262694,0.94318455,0.1950729787349701,85.966
10069_00_10s.ARW,test_10069_03_0.1s.png,28.996264100540653,0.933417,0.1995946168899536,82.6576
10069_00_10s.ARW,test_10069_04_0.1s.png,29.73058540067212,0.9431722,0.1954875886440277,86.0448
10069_00_10s.ARW,test_10069_05_0.1s.png,29.688590615105532,0.9432543,0.19450098276138306,85.956
