gt,generated,psnr,ssim,lpips
10011_00_10s.ARW,test_10011_04_0.1s.png,29.413061501718456,0.9050152,0.29548150300979614
10011_00_10s.ARW,test_10011_05_0.1s.png,29.457143051238504,0.90542084,0.29274681210517883
10011_00_10s.ARW,test_10011_06_0.1s.png,29.368281429435136,0.9048837,0.292397141456604
10011_00_10s.ARW,test_10011_07_0.1s.png,29.369671907933977,0.9050514,0.29212188720703125
10011_00_10s.ARW,test_10011_08_0.1s.png,29.401953361698077,0.90509576,0.2925356924533844
10011_00_10s.ARW,test_10011_09_0.1s.png,29.319026305135143,0.9049414,0.29078587889671326
10016_00_10s.ARW,test_10016_00_0.04s.png,28.04873920553274,0.7921856,0.4568024277687073
10016_00_10s.ARW,test_10016_00_0.1s.png,28.538931536697262,0.815955,0.4477504789829254
10016_00_10s.ARW,test_10016_01_0.04s.png,28.053018691799053,0.79202765,0.454524964094162
10016_00_10s.ARW,test_10016_01_0.1s.png,28.52914878691799,0.8160612,0.4466961622238159
10016_00_10s.ARW,test_10016_02_0.1s.png,28.52040690867629,0.8153154,0.4476063549518585
10016_00_10s.ARW,test_10016_03_0.1s.png,28.5456638008144,0.81596833,0.44733062386512756
10016_00_10s.ARW,test_10016_04_0.1s.png,28.52605012258249,0.816102,0.44775986671447754
10016_00_10s.ARW,test_10016_05_0.1s.png,28.52251822827073,0.81561345,0.4464039206504822
10016_00_10s.ARW,test_10016_06_0.1s.png,28.52794090438989,0.81606406,0.4474371671676636
10016_00_10s.ARW,test_10016_07_0.1s.png,28.529412491074027,0.81556195,0.4474170506000519
10016_00_10s.ARW,test_10016_08_0.1s.png,28.527043736456847,0.81576616,0.4461611807346344
10016_00_10s.ARW,test_10016_09_0.1s.png,28.322732473589568,0.80836457,0.4475911557674408
10022_00_10s.ARW,test_10022_00_0.04s.png,28.639660822477172,0.79952407,0.44194871187210083
10022_00_10s.ARW,test_10022_00_0.1s.png,29.154535436640305,0.8290351,0.3985823690891266
10022_00_10s.ARW,test_10022_01_0.04s.png,28.548272132444946,0.7983467,0.4400331974029541
